,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
0,0.7932529472515053,100.0,[12],relu,genetic_alg,0.7844380403458213
1,0.7673035977578154,100.0,[6],relu,genetic_alg,0.7587896253602305
2,0.7942614885974655,100.0,[24],relu,genetic_alg,0.7838616714697405
3,0.8019749150736895,100.0,"[12, 12]",relu,genetic_alg,0.7945244956772335
4,0.6948505881512371,100.0,"[6, 6]",relu,genetic_alg,0.693371757925072
5,0.8016871723922913,100.0,"[24, 24]",relu,genetic_alg,0.7861671469740633
6,0.7529651526075464,100.0,"[12, 12, 12]",relu,genetic_alg,0.7512968299711816
7,0.33490870827568736,100.0,"[6, 6, 6]",relu,genetic_alg,0.3389048991354467
8,0.8027684353423359,100.0,"[24, 24, 24]",relu,genetic_alg,0.7971181556195965
9,0.7972891131939438,10.0,[12],relu,genetic_alg,0.7806916426512969
10,0.7724888118110901,10.0,[6],relu,genetic_alg,0.770028818443804
11,0.7915946400618353,10.0,[24],relu,genetic_alg,0.7835734870317003
12,0.7991637405249518,10.0,"[12, 12]",relu,genetic_alg,0.7927953890489914
13,0.6820209539027131,10.0,"[6, 6]",relu,genetic_alg,0.6755043227665707
14,0.8016149963950975,10.0,"[24, 24]",relu,genetic_alg,0.7925072046109509
15,0.8016868606169256,10.0,"[12, 12, 12]",relu,genetic_alg,0.792507204610951
16,0.3211519580142507,10.0,"[6, 6, 6]",relu,genetic_alg,0.3152737752161383
17,0.8016868346356449,10.0,"[24, 24, 24]",relu,genetic_alg,0.7925072046109511
18,0.7919550783660372,100.0,[12],sigmoid,genetic_alg,0.7835734870317003
19,0.7652814746974805,100.0,[6],sigmoid,genetic_alg,0.7622478386167147
20,0.7957751320173815,100.0,[24],sigmoid,genetic_alg,0.785878962536023
21,0.7966409841709049,100.0,"[12, 12]",sigmoid,genetic_alg,0.7818443804034583
22,0.565365939840345,100.0,"[6, 6]",sigmoid,genetic_alg,0.5587896253602306
23,0.7918108562780517,100.0,"[24, 24]",sigmoid,genetic_alg,0.7829971181556197
24,0.783086732009587,100.0,"[12, 12, 12]",sigmoid,genetic_alg,0.770028818443804
25,0.23053468176179065,100.0,"[6, 6, 6]",sigmoid,genetic_alg,0.2365994236311239
26,0.7919553121975615,100.0,"[24, 24, 24]",sigmoid,genetic_alg,0.7786743515850143
27,0.7941890268061862,10.0,[12],sigmoid,genetic_alg,0.7861671469740634
28,0.7595854946511039,10.0,[6],sigmoid,genetic_alg,0.7512968299711815
29,0.7923158804081659,10.0,[24],sigmoid,genetic_alg,0.7853025936599425
30,0.7962074345434115,10.0,"[12, 12]",sigmoid,genetic_alg,0.7855907780979827
31,0.5422427041316731,10.0,"[6, 6]",sigmoid,genetic_alg,0.539193083573487
32,0.7943339244074644,10.0,"[24, 24]",sigmoid,genetic_alg,0.7821325648414986
33,0.7822252187299051,10.0,"[12, 12, 12]",sigmoid,genetic_alg,0.768299711815562
34,0.2401993283838994,10.0,"[6, 6, 6]",sigmoid,genetic_alg,0.25014409221902023
35,0.7925317328864553,10.0,"[24, 24, 24]",sigmoid,genetic_alg,0.7798270893371757
