,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
540,0.791450522,100,[12],relu,genetic_alg,0.781434768
541,0.769751788,100,[6],relu,genetic_alg,0.765565079
542,0.797433803,100,[24],relu,genetic_alg,0.789504764
543,0.798010665,100,"[12, 12]",relu,genetic_alg,0.789511001
544,0.714676358,100,"[6, 6]",relu,genetic_alg,0.709920115
545,0.800029203,100,"[24, 24]",relu,genetic_alg,0.798451788
546,0.793829836,100,"[12, 12, 12]",relu,genetic_alg,0.784889654
547,0.313956338,100,"[6, 6, 6]",relu,genetic_alg,0.311652964
548,0.801614815,100,"[24, 24, 24]",relu,genetic_alg,0.794401404
549,0.795054229,31.6227766,[12],relu,genetic_alg,0.79266606
550,0.769751788,31.6227766,[6],relu,genetic_alg,0.765565079
551,0.797433803,31.6227766,[24],relu,genetic_alg,0.789504764
552,0.798010665,31.6227766,"[12, 12]",relu,genetic_alg,0.789511001
553,0.714676358,31.6227766,"[6, 6]",relu,genetic_alg,0.709920115
554,0.800029203,31.6227766,"[24, 24]",relu,genetic_alg,0.798451788
555,0.793829836,31.6227766,"[12, 12, 12]",relu,genetic_alg,0.784889654
556,0.313956338,31.6227766,"[6, 6, 6]",relu,genetic_alg,0.311652964
557,0.801614815,31.6227766,"[24, 24, 24]",relu,genetic_alg,0.794401404
558,0.795054229,10,[12],relu,genetic_alg,0.79266606
559,0.769751788,10,[6],relu,genetic_alg,0.765565079
560,0.797433803,10,[24],relu,genetic_alg,0.789504764
561,0.798010665,10,"[12, 12]",relu,genetic_alg,0.789511001
562,0.714676358,10,"[6, 6]",relu,genetic_alg,0.709920115
563,0.800029203,10,"[24, 24]",relu,genetic_alg,0.798451788
564,0.793829836,10,"[12, 12, 12]",relu,genetic_alg,0.784889654
565,0.313956338,10,"[6, 6, 6]",relu,genetic_alg,0.311652964
566,0.801614815,10,"[24, 24, 24]",relu,genetic_alg,0.794401404
567,0.795054229,3.16227766,[12],relu,genetic_alg,0.79266606
568,0.769751788,3.16227766,[6],relu,genetic_alg,0.765565079
569,0.797433803,3.16227766,[24],relu,genetic_alg,0.789504764
570,0.798010665,3.16227766,"[12, 12]",relu,genetic_alg,0.789511001
571,0.714676358,3.16227766,"[6, 6]",relu,genetic_alg,0.709920115
572,0.800029203,3.16227766,"[24, 24]",relu,genetic_alg,0.798451788
573,0.793829836,3.16227766,"[12, 12, 12]",relu,genetic_alg,0.784889654
574,0.313956338,3.16227766,"[6, 6, 6]",relu,genetic_alg,0.311652964
575,0.801614815,3.16227766,"[24, 24, 24]",relu,genetic_alg,0.794401404
0,0.798442838,1,[12],relu,genetic_alg,0.787896254
1,0.753173315,1,[6],relu,genetic_alg,0.74870317
2,0.791810986,1,[24],relu,genetic_alg,0.782420749
3,0.801038264,1,"[12, 12]",relu,genetic_alg,0.793948127
4,0.655060881,1,"[6, 6]",relu,genetic_alg,0.658213256
5,0.798443513,1,"[24, 24]",relu,genetic_alg,0.787896254
6,0.754107108,1,"[12, 12, 12]",relu,genetic_alg,0.753314121
7,0.263846087,1,"[6, 6, 6]",relu,genetic_alg,0.270893372
8,0.803056957,1,"[24, 24, 24]",relu,genetic_alg,0.784726225
585,0.795054229,0.316227766,[12],relu,genetic_alg,0.79266606
586,0.769751788,0.316227766,[6],relu,genetic_alg,0.765565079
587,0.797433803,0.316227766,[24],relu,genetic_alg,0.789504764
588,0.798010665,0.316227766,"[12, 12]",relu,genetic_alg,0.789511001
589,0.714676358,0.316227766,"[6, 6]",relu,genetic_alg,0.709920115
590,0.800029203,0.316227766,"[24, 24]",relu,genetic_alg,0.798451788
591,0.793829836,0.316227766,"[12, 12, 12]",relu,genetic_alg,0.784889654
592,0.313956338,0.316227766,"[6, 6, 6]",relu,genetic_alg,0.311652964
593,0.801614815,0.316227766,"[24, 24, 24]",relu,genetic_alg,0.794401404
0,0.794406438,0.1,[12],relu,genetic_alg,0.782708934
1,0.760379716,0.1,[6],relu,genetic_alg,0.749855908
2,0.795054022,0.1,[24],relu,genetic_alg,0.789048991
3,0.802551803,0.1,"[12, 12]",relu,genetic_alg,0.792795389
4,0.66552084,0.1,"[6, 6]",relu,genetic_alg,0.658501441
5,0.801903207,0.1,"[24, 24]",relu,genetic_alg,0.790489914
6,0.778833466,0.1,"[12, 12, 12]",relu,genetic_alg,0.76945245
7,0.23485963,0.1,"[6, 6, 6]",relu,genetic_alg,0.24610951
8,0.802263567,0.1,"[24, 24, 24]",relu,genetic_alg,0.792507205
9,0.791161948,0.01,[12],relu,genetic_alg,0.779827089
10,0.778114357,0.01,[6],relu,genetic_alg,0.767435159
11,0.793180901,0.01,[24],relu,genetic_alg,0.780979827
12,0.801542665,0.01,"[12, 12]",relu,genetic_alg,0.795389049
13,0.714024669,0.01,"[6, 6]",relu,genetic_alg,0.706340058
14,0.801182876,0.01,"[24, 24]",relu,genetic_alg,0.790778098
15,0.727720545,0.01,"[12, 12, 12]",relu,genetic_alg,0.71556196
16,0.286466273,0.01,"[6, 6, 6]",relu,genetic_alg,0.296829971
17,0.803849984,0.01,"[24, 24, 24]",relu,genetic_alg,0.789913545
18,0.793324526,0.001,[12],relu,genetic_alg,0.787319885
19,0.774293498,0.001,[6],relu,genetic_alg,0.765129683
20,0.794694285,0.001,[24],relu,genetic_alg,0.7870317
21,0.802480381,0.001,"[12, 12]",relu,genetic_alg,0.78962536
22,0.702062758,0.001,"[6, 6]",relu,genetic_alg,0.688472622
23,0.802768461,0.001,"[24, 24]",relu,genetic_alg,0.795389049
24,0.788135388,0.001,"[12, 12, 12]",relu,genetic_alg,0.773775216
25,0.310922426,0.001,"[6, 6, 6]",relu,genetic_alg,0.321037464
26,0.801110258,0.001,"[24, 24, 24]",relu,genetic_alg,0.794524496
27,0.795559124,0.0001,[12],relu,genetic_alg,0.788760807
28,0.76701479,0.0001,[6],relu,genetic_alg,0.755907781
29,0.795126639,0.0001,[24],relu,genetic_alg,0.786167147
30,0.800894276,0.0001,"[12, 12]",relu,genetic_alg,0.789913545
31,0.649517904,0.0001,"[6, 6]",relu,genetic_alg,0.644668588
32,0.802047585,0.0001,"[24, 24]",relu,genetic_alg,0.797118156
33,0.766215034,0.0001,"[12, 12, 12]",relu,genetic_alg,0.757636888
34,0.309183863,0.0001,"[6, 6, 6]",relu,genetic_alg,0.306340058
35,0.802624213,0.0001,"[24, 24, 24]",relu,genetic_alg,0.796829971
18,0.791955078,100,[12],sigmoid,genetic_alg,0.783573487
19,0.765281475,100,[6],sigmoid,genetic_alg,0.762247839
20,0.795775132,100,[24],sigmoid,genetic_alg,0.785878963
21,0.796640984,100,"[12, 12]",sigmoid,genetic_alg,0.78184438
22,0.56536594,100,"[6, 6]",sigmoid,genetic_alg,0.558789625
23,0.791810856,100,"[24, 24]",sigmoid,genetic_alg,0.782997118
24,0.783086732,100,"[12, 12, 12]",sigmoid,genetic_alg,0.770028818
25,0.230534682,100,"[6, 6, 6]",sigmoid,genetic_alg,0.236599424
26,0.791955312,100,"[24, 24, 24]",sigmoid,genetic_alg,0.778674352
27,0.794189027,10,[12],sigmoid,genetic_alg,0.786167147
28,0.759585495,10,[6],sigmoid,genetic_alg,0.75129683
29,0.79231588,10,[24],sigmoid,genetic_alg,0.785302594
30,0.796207435,10,"[12, 12]",sigmoid,genetic_alg,0.785590778
31,0.542242704,10,"[6, 6]",sigmoid,genetic_alg,0.539193084
32,0.794333924,10,"[24, 24]",sigmoid,genetic_alg,0.782132565
33,0.782225219,10,"[12, 12, 12]",sigmoid,genetic_alg,0.768299712
34,0.240199328,10,"[6, 6, 6]",sigmoid,genetic_alg,0.250144092
35,0.792531733,10,"[24, 24, 24]",sigmoid,genetic_alg,0.779827089
9,0.794261852,1,[12],sigmoid,genetic_alg,0.785590778
10,0.772998097,1,[6],sigmoid,genetic_alg,0.765706052
11,0.793180382,1,[24],sigmoid,genetic_alg,0.775792507
12,0.786979195,1,"[12, 12]",sigmoid,genetic_alg,0.772910663
13,0.55421176,1,"[6, 6]",sigmoid,genetic_alg,0.551873199
14,0.794117422,1,"[24, 24]",sigmoid,genetic_alg,0.785590778
15,0.797145203,1,"[12, 12, 12]",sigmoid,genetic_alg,0.790778098
16,0.270682333,1,"[6, 6, 6]",sigmoid,genetic_alg,0.280979827
17,0.79181057,1,"[24, 24, 24]",sigmoid,genetic_alg,0.785014409
36,0.799092084,0.1,[12],sigmoid,genetic_alg,0.789337176
37,0.764344824,0.1,[6],sigmoid,genetic_alg,0.752737752
38,0.794045272,0.1,[24],sigmoid,genetic_alg,0.777521614
39,0.789214677,0.1,"[12, 12]",sigmoid,genetic_alg,0.773487032
40,0.567252103,0.1,"[6, 6]",sigmoid,genetic_alg,0.56167147
41,0.791883136,0.1,"[24, 24]",sigmoid,genetic_alg,0.780691643
42,0.697733003,0.1,"[12, 12, 12]",sigmoid,genetic_alg,0.686743516
43,0.2802853,0.1,"[6, 6, 6]",sigmoid,genetic_alg,0.291930836
44,0.791954741,0.1,"[24, 24, 24]",sigmoid,genetic_alg,0.777521614
45,0.795847412,0.01,[12],sigmoid,genetic_alg,0.782997118
46,0.773212936,0.01,[6],sigmoid,genetic_alg,0.755043228
47,0.793540482,0.01,[24],sigmoid,genetic_alg,0.785590778
48,0.793974266,0.01,"[12, 12]",sigmoid,genetic_alg,0.782997118
49,0.604528485,0.01,"[6, 6]",sigmoid,genetic_alg,0.598559078
50,0.796352566,0.01,"[24, 24]",sigmoid,genetic_alg,0.783573487
51,0.727234176,0.01,"[12, 12, 12]",sigmoid,genetic_alg,0.725936599
52,0.30587351,0.01,"[6, 6, 6]",sigmoid,genetic_alg,0.311239193
53,0.791234072,0.01,"[24, 24, 24]",sigmoid,genetic_alg,0.781556196
54,0.793035796,0.001,[12],sigmoid,genetic_alg,0.781268012
55,0.769823574,0.001,[6],sigmoid,genetic_alg,0.758213256
56,0.791089954,0.001,[24],sigmoid,genetic_alg,0.778962536
57,0.780204707,0.001,"[12, 12]",sigmoid,genetic_alg,0.779827089
58,0.576254305,0.001,"[6, 6]",sigmoid,genetic_alg,0.575792507
59,0.793180382,0.001,"[24, 24]",sigmoid,genetic_alg,0.78184438
60,0.782802913,0.001,"[12, 12, 12]",sigmoid,genetic_alg,0.768876081
61,0.294835259,0.001,"[6, 6, 6]",sigmoid,genetic_alg,0.299423631
62,0.791018219,0.001,"[24, 24, 24]",sigmoid,genetic_alg,0.781268012
63,0.792748884,0.0001,[12],sigmoid,genetic_alg,0.780979827
64,0.765136811,0.0001,[6],sigmoid,genetic_alg,0.761095101
65,0.79627974,0.0001,[24],sigmoid,genetic_alg,0.785014409
66,0.780418325,0.0001,"[12, 12]",sigmoid,genetic_alg,0.768011527
67,0.62975992,0.0001,"[6, 6]",sigmoid,genetic_alg,0.622190202
68,0.794117526,0.0001,"[24, 24]",sigmoid,genetic_alg,0.78184438
69,0.778183727,0.0001,"[12, 12, 12]",sigmoid,genetic_alg,0.770028818
70,0.253537494,0.0001,"[6, 6, 6]",sigmoid,genetic_alg,0.257060519
71,0.792459817,0.0001,"[24, 24, 24]",sigmoid,genetic_alg,0.780979827
