,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
0,0.7984428379352677,1.0,[12],relu,genetic_alg,0.7878962536023054
1,0.7531733146268114,1.0,[6],relu,genetic_alg,0.7487031700288184
2,0.7918109861844541,1.0,[24],relu,genetic_alg,0.782420749279539
3,0.8010382639308379,1.0,"[12, 12]",relu,genetic_alg,0.7939481268011527
4,0.6550608806355022,1.0,"[6, 6]",relu,genetic_alg,0.6582132564841499
5,0.7984435134485602,1.0,"[24, 24]",relu,genetic_alg,0.7878962536023055
6,0.7541071078288093,1.0,"[12, 12, 12]",relu,genetic_alg,0.7533141210374639
7,0.2638460868943926,1.0,"[6, 6, 6]",relu,genetic_alg,0.27089337175792505
8,0.8030569574621484,1.0,"[24, 24, 24]",relu,genetic_alg,0.7847262247838617
9,0.7942618523353924,1.0,[12],sigmoid,genetic_alg,0.7855907780979827
10,0.7729980968712044,1.0,[6],sigmoid,genetic_alg,0.7657060518731987
11,0.793180381535104,1.0,[24],sigmoid,genetic_alg,0.775792507204611
12,0.7869791954896497,1.0,"[12, 12]",sigmoid,genetic_alg,0.7729106628242075
13,0.5542117604266126,1.0,"[6, 6]",sigmoid,genetic_alg,0.5518731988472622
14,0.7941174223971628,1.0,"[24, 24]",sigmoid,genetic_alg,0.7855907780979827
15,0.7971452028813241,1.0,"[12, 12, 12]",sigmoid,genetic_alg,0.7907780979827089
16,0.27068233337880054,1.0,"[6, 6, 6]",sigmoid,genetic_alg,0.2809798270893372
17,0.7918105704839662,1.0,"[24, 24, 24]",sigmoid,genetic_alg,0.7850144092219021
