,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
540,0.791450522,100,[12],relu,genetic_alg,0.781434768
541,0.769751788,100,[6],relu,genetic_alg,0.765565079
542,0.797433803,100,[24],relu,genetic_alg,0.789504764
543,0.798010665,100,"[12, 12]",relu,genetic_alg,0.789511001
544,0.714676358,100,"[6, 6]",relu,genetic_alg,0.709920115
545,0.800029203,100,"[24, 24]",relu,genetic_alg,0.798451788
546,0.793829836,100,"[12, 12, 12]",relu,genetic_alg,0.784889654
547,0.313956338,100,"[6, 6, 6]",relu,genetic_alg,0.311652964
548,0.801614815,100,"[24, 24, 24]",relu,genetic_alg,0.794401404
549,0.795054229,31.6227766,[12],relu,genetic_alg,0.79266606
550,0.769751788,31.6227766,[6],relu,genetic_alg,0.765565079
551,0.797433803,31.6227766,[24],relu,genetic_alg,0.789504764
552,0.798010665,31.6227766,"[12, 12]",relu,genetic_alg,0.789511001
553,0.714676358,31.6227766,"[6, 6]",relu,genetic_alg,0.709920115
554,0.800029203,31.6227766,"[24, 24]",relu,genetic_alg,0.798451788
555,0.793829836,31.6227766,"[12, 12, 12]",relu,genetic_alg,0.784889654
556,0.313956338,31.6227766,"[6, 6, 6]",relu,genetic_alg,0.311652964
557,0.801614815,31.6227766,"[24, 24, 24]",relu,genetic_alg,0.794401404
558,0.795054229,10,[12],relu,genetic_alg,0.79266606
559,0.769751788,10,[6],relu,genetic_alg,0.765565079
560,0.797433803,10,[24],relu,genetic_alg,0.789504764
561,0.798010665,10,"[12, 12]",relu,genetic_alg,0.789511001
562,0.714676358,10,"[6, 6]",relu,genetic_alg,0.709920115
563,0.800029203,10,"[24, 24]",relu,genetic_alg,0.798451788
564,0.793829836,10,"[12, 12, 12]",relu,genetic_alg,0.784889654
565,0.313956338,10,"[6, 6, 6]",relu,genetic_alg,0.311652964
566,0.801614815,10,"[24, 24, 24]",relu,genetic_alg,0.794401404
567,0.795054229,3.16227766,[12],relu,genetic_alg,0.79266606
568,0.769751788,3.16227766,[6],relu,genetic_alg,0.765565079
569,0.797433803,3.16227766,[24],relu,genetic_alg,0.789504764
570,0.798010665,3.16227766,"[12, 12]",relu,genetic_alg,0.789511001
571,0.714676358,3.16227766,"[6, 6]",relu,genetic_alg,0.709920115
572,0.800029203,3.16227766,"[24, 24]",relu,genetic_alg,0.798451788
573,0.793829836,3.16227766,"[12, 12, 12]",relu,genetic_alg,0.784889654
574,0.313956338,3.16227766,"[6, 6, 6]",relu,genetic_alg,0.311652964
575,0.801614815,3.16227766,"[24, 24, 24]",relu,genetic_alg,0.794401404
576,0.795054229,1,[12],relu,genetic_alg,0.79266606
577,0.769751788,1,[6],relu,genetic_alg,0.765565079
578,0.797433803,1,[24],relu,genetic_alg,0.789504764
579,0.798010665,1,"[12, 12]",relu,genetic_alg,0.789511001
580,0.714676358,1,"[6, 6]",relu,genetic_alg,0.709920115
581,0.800029203,1,"[24, 24]",relu,genetic_alg,0.798451788
582,0.793829836,1,"[12, 12, 12]",relu,genetic_alg,0.784889654
583,0.313956338,1,"[6, 6, 6]",relu,genetic_alg,0.311652964
584,0.801614815,1,"[24, 24, 24]",relu,genetic_alg,0.794401404
585,0.795054229,0.316227766,[12],relu,genetic_alg,0.79266606
586,0.769751788,0.316227766,[6],relu,genetic_alg,0.765565079
587,0.797433803,0.316227766,[24],relu,genetic_alg,0.789504764
588,0.798010665,0.316227766,"[12, 12]",relu,genetic_alg,0.789511001
589,0.714676358,0.316227766,"[6, 6]",relu,genetic_alg,0.709920115
590,0.800029203,0.316227766,"[24, 24]",relu,genetic_alg,0.798451788
591,0.793829836,0.316227766,"[12, 12, 12]",relu,genetic_alg,0.784889654
592,0.313956338,0.316227766,"[6, 6, 6]",relu,genetic_alg,0.311652964
593,0.801614815,0.316227766,"[24, 24, 24]",relu,genetic_alg,0.794401404
