,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
0,0.631269251,100,[12],relu,random_hill_climb,0.626305875
1,0.515570451,100,[6],relu,random_hill_climb,0.515563207
2,0.754036828,100,[24],relu,random_hill_climb,0.751445704
3,0.724917763,100,"[12, 12]",relu,random_hill_climb,0.724310208
4,0.757856414,100,"[6, 6]",relu,random_hill_climb,0.758946817
5,0.751730262,100,"[24, 24]",relu,random_hill_climb,0.744525119
6,0.767302091,100,"[12, 12, 12]",relu,random_hill_climb,0.764416083
7,0.73327989,100,"[6, 6, 6]",relu,random_hill_climb,0.740468497
8,0.72851643,100,"[24, 24, 24]",relu,random_hill_climb,0.71684777
9,0.693484882,31.6227766,[12],relu,random_hill_climb,0.689730986
10,0.702855706,31.6227766,[6],relu,random_hill_climb,0.702406943
11,0.753822743,31.6227766,[24],relu,random_hill_climb,0.752872488
12,0.716485746,31.6227766,"[12, 12]",relu,random_hill_climb,0.705865988
13,0.712439889,31.6227766,"[6, 6]",relu,random_hill_climb,0.703873648
14,0.769607955,31.6227766,"[24, 24]",relu,random_hill_climb,0.756634272
15,0.793180018,31.6227766,"[12, 12, 12]",relu,random_hill_climb,0.790080301
16,0.755330462,31.6227766,"[6, 6, 6]",relu,random_hill_climb,0.747135413
17,0.725563138,31.6227766,"[24, 24, 24]",relu,random_hill_climb,0.705596933
18,0.727724417,10,[12],relu,random_hill_climb,0.719155324
19,0.673586495,10,[6],relu,random_hill_climb,0.668115074
20,0.766796079,10,[24],relu,random_hill_climb,0.767593598
21,0.777609514,10,"[12, 12]",relu,random_hill_climb,0.766729876
22,0.77472606,10,"[6, 6]",relu,random_hill_climb,0.773356039
23,0.777033925,10,"[24, 24]",relu,random_hill_climb,0.767011823
24,0.784025124,10,"[12, 12, 12]",relu,random_hill_climb,0.776528147
25,0.725704112,10,"[6, 6, 6]",relu,random_hill_climb,0.726367421
26,0.721522529,10,"[24, 24, 24]",relu,random_hill_climb,0.703014917
27,0.762615484,3.16227766,[12],relu,random_hill_climb,0.75143614
28,0.702639802,3.16227766,[6],relu,random_hill_climb,0.692891451
29,0.775734913,3.16227766,[24],relu,random_hill_climb,0.770766537
30,0.782078009,3.16227766,"[12, 12]",relu,random_hill_climb,0.770469204
31,0.791521581,3.16227766,"[6, 6]",relu,random_hill_climb,0.779418308
32,0.797577453,3.16227766,"[24, 24]",relu,random_hill_climb,0.773931992
33,0.781213456,3.16227766,"[12, 12, 12]",relu,random_hill_climb,0.765576306
34,0.745019921,3.16227766,"[6, 6, 6]",relu,random_hill_climb,0.726088801
35,0.738752899,3.16227766,"[24, 24, 24]",relu,random_hill_climb,0.726650615
36,0.797145956,1,[12],relu,random_hill_climb,0.794689172
37,0.786547958,1,[6],relu,random_hill_climb,0.778260996
38,0.811201933,1,[24],relu,random_hill_climb,0.806228194
39,0.805002774,1,"[12, 12]",relu,random_hill_climb,0.787194714
40,0.815166806,1,"[6, 6]",relu,random_hill_climb,0.802189037
41,0.817617984,1,"[24, 24]",relu,random_hill_climb,0.799883562
42,0.808534591,1,"[12, 12, 12]",relu,random_hill_climb,0.792677703
43,0.801038472,1,"[6, 6, 6]",relu,random_hill_climb,0.794980684
44,0.771048306,1,"[24, 24, 24]",relu,random_hill_climb,0.758367121
45,0.821727339,0.316227766,[12],relu,random_hill_climb,0.815168149
46,0.776673799,0.316227766,[6],relu,random_hill_climb,0.766723638
47,0.818843963,0.316227766,[24],relu,random_hill_climb,0.808820606
48,0.816536981,0.316227766,"[12, 12]",relu,random_hill_climb,0.801614332
49,0.818122437,0.316227766,"[6, 6]",relu,random_hill_climb,0.812278819
50,0.814878986,0.316227766,"[24, 24]",relu,random_hill_climb,0.795557053
51,0.814375235,0.316227766,"[12, 12, 12]",relu,random_hill_climb,0.801039211
52,0.812932104,0.316227766,"[6, 6, 6]",relu,random_hill_climb,0.808826428
53,0.702782024,0.316227766,"[24, 24, 24]",relu,random_hill_climb,0.695503408
54,0.799884747,0.1,[12],relu,random_hill_climb,0.797578086
55,0.760885546,0.1,[6],relu,random_hill_climb,0.754904749
56,0.76391356,0.1,[24],relu,random_hill_climb,0.760392313
57,0.797578077,0.1,"[12, 12]",relu,random_hill_climb,0.788069663
58,0.812283326,0.1,"[6, 6]",relu,random_hill_climb,0.812569915
59,0.788567249,0.1,"[24, 24]",relu,random_hill_climb,0.779703998
60,0.784458128,0.1,"[12, 12, 12]",relu,random_hill_climb,0.779697344
61,0.795559773,0.1,"[6, 6, 6]",relu,random_hill_climb,0.792098424
62,0.25634355,0.1,"[24, 24, 24]",relu,random_hill_climb,0.255186696
63,0.499855336,0.031622777,[12],relu,random_hill_climb,0.498835618
64,0.536259683,0.031622777,[6],relu,random_hill_climb,0.536901331
65,0.473688082,0.031622777,[24],relu,random_hill_climb,0.472895276
66,0.680507155,0.031622777,"[12, 12]",relu,random_hill_climb,0.674737494
67,0.792315413,0.031622777,"[6, 6]",relu,random_hill_climb,0.792671881
68,0.755839384,0.031622777,"[24, 24]",relu,random_hill_climb,0.755192934
69,0.556444462,0.031622777,"[12, 12, 12]",relu,random_hill_climb,0.554206952
70,0.212802874,0.031622777,"[6, 6, 6]",relu,random_hill_climb,0.212804455
71,0.213379554,0.031622777,"[24, 24, 24]",relu,random_hill_climb,0.213380823
72,0.367934917,0.01,[12],relu,random_hill_climb,0.367350325
73,0.313365212,0.01,[6],relu,random_hill_climb,0.313439874
74,0.403402431,0.01,[24],relu,random_hill_climb,0.403112226
75,0.582756302,0.01,"[12, 12]",relu,random_hill_climb,0.583905336
76,0.739979475,0.01,"[6, 6]",relu,random_hill_climb,0.738462018
77,0.743368161,0.01,"[24, 24]",relu,random_hill_climb,0.743083781
78,0.413206051,0.01,"[12, 12, 12]",relu,random_hill_climb,0.41233288
79,0.212802874,0.01,"[6, 6, 6]",relu,random_hill_climb,0.212804455
80,0.212802822,0.01,"[24, 24, 24]",relu,random_hill_climb,0.212803623
81,0.328647142,0.003162278,[12],relu,random_hill_climb,0.328710739
82,0.305075001,0.003162278,[6],relu,random_hill_climb,0.305075456
83,0.381776236,0.003162278,[24],relu,random_hill_climb,0.381774933
84,0.547937905,0.003162278,"[12, 12]",relu,random_hill_climb,0.546996935
85,0.71071177,0.003162278,"[6, 6]",relu,random_hill_climb,0.710776767
86,0.735726885,0.003162278,"[24, 24]",relu,random_hill_climb,0.73558558
87,0.381559526,0.003162278,"[12, 12, 12]",relu,random_hill_climb,0.381191911
